id,full name,email,total rental,total amount
148,Eleanor Hunt,eleanor.hunt@sakilacustomer.org,45,211.55
526,Karl Seal,karl.seal@sakilacustomer.org,42,208.58
144,Clara Shaw,clara.shaw@sakilacustomer.org,40,189.60
178,Marion Snyder,marion.snyder@sakilacustomer.org,39,194.61
236,Marcia Dean,marcia.dean@sakilacustomer.org,39,166.61
75,Tammy Sanders,tammy.sanders@sakilacustomer.org,39,149.61
137,Rhonda Kennedy,rhonda.kennedy@sakilacustomer.org,38,191.62
410,Curtis Irby,curtis.irby@sakilacustomer.org,38,167.62
459,Tommy Collazo,tommy.collazo@sakilacustomer.org,37,183.63
366,Brandon Huey,brandon.huey@sakilacustomer.org,36,145.64
